# ./cyclops -w STRIDED_ARRAY -m TASK_CLOCK_NS -u 5 -r 3 -s array-size-kib=10:2800:20 -p repeats=100
array-size-kib,CPU_CYCLES:MIN,CPU_CYCLES:MAX,CPU_CYCLES:MEDIAN,INSTRUCTIONS:MIN,INSTRUCTIONS:MAX,INSTRUCTIONS:MEDIAN,TASK_CLOCK_NS:MIN,TASK_CLOCK_NS:MAX,TASK_CLOCK_NS:MEDIAN,
2250,129786964.000000,130090553.000000,129796207.0000002250,18000711.000000,18000712.000000,18000711.0000002250,52211089.000000,52348632.000000,52216022.000000
2270,131899188.000000,144588622.000000,132112103.0000002270,18160712.000000,18160735.000000,18160716.0000002270,53111267.000000,58327830.000000,53156102.000000
2290,131909712.000000,132035544.000000,131928516.0000002290,18320712.000000,18320712.000000,18320712.0000002290,53063538.000000,53118502.000000,53071797.000000
2310,134321290.000000,135052548.000000,134975726.0000002310,18480713.000000,18480714.000000,18480714.0000002310,54029409.000000,54325520.000000,54301520.000000
2330,135778384.000000,136790710.000000,136470292.0000002330,18640714.000000,18640714.000000,18640714.0000002330,54614394.000000,55042426.000000,54906614.000000
2350,138353552.000000,139527744.000000,138472825.0000002350,18800715.000000,18800717.000000,18800715.0000002350,55661990.000000,56162532.000000,55731729.000000
2370,139135972.000000,140088765.000000,139871654.0000002370,18960715.000000,18960715.000000,18960715.0000002370,55985532.000000,56367949.000000,56277489.000000
2390,140924637.000000,140959426.000000,140949992.0000002390,19120715.000000,19120716.000000,19120716.0000002390,56709858.000000,56727923.000000,56724072.000000
2410,142295310.000000,143594423.000000,142480640.0000002410,19280716.000000,19280717.000000,19280717.0000002410,57288643.000000,57798560.000000,57352658.000000
2430,144188916.000000,144326366.000000,144283929.0000002430,19440717.000000,19440718.000000,19440717.0000002430,58028992.000000,58091467.000000,58071693.000000
2450,145883045.000000,149730889.000000,147250796.0000002450,19600718.000000,19600719.000000,19600719.0000002450,58697535.000000,60273127.000000,59267014.000000
2470,150302404.000000,151978956.000000,150344280.0000002470,19760719.000000,19760720.000000,19760720.0000002470,60490178.000000,61191292.000000,60506286.000000
2490,153830803.000000,174266102.000000,154004610.0000002490,19920721.000000,19920755.000000,19920721.0000002490,61932431.000000,70362952.000000,62004057.000000
2510,154056990.000000,154339730.000000,154196476.0000002510,20080721.000000,20080721.000000,20080721.0000002510,62014390.000000,62127473.000000,62093818.000000
2530,151994038.000000,155536392.000000,154125904.0000002530,20240721.000000,20240721.000000,20240721.0000002530,61220053.000000,62660771.000000,62062884.000000
2550,153519059.000000,153609539.000000,153534344.0000002550,20400720.000000,20400721.000000,20400721.0000002550,61821752.000000,61858771.000000,61828128.000000
2570,159565447.000000,165370971.000000,161391926.0000002570,20560723.000000,20560726.000000,20560724.0000002570,64269949.000000,66618153.000000,65012281.000000
2590,161676418.000000,163623223.000000,161781453.0000002590,20720724.000000,20720725.000000,20720724.0000002590,65134239.000000,65915168.000000,65199365.000000
2610,167764450.000000,176570684.000000,168477722.0000002610,20880726.000000,20880731.000000,20880728.0000002610,67569117.000000,71155620.000000,67908210.000000
2630,172049933.000000,175015117.000000,172128040.0000002630,21040728.000000,21040729.000000,21040729.0000002630,69338986.000000,70516682.000000,69343925.000000
2650,177473471.000000,190105881.000000,177775339.0000002650,21200730.000000,21200739.000000,21200731.0000002650,71494748.000000,76628381.000000,71652490.000000
2670,184134050.000000,200378273.000000,185250269.0000002670,21360733.000000,21360759.000000,21360734.0000002670,74220361.000000,80880738.000000,74661430.000000
2690,182377492.000000,186097082.000000,182757677.0000002690,21520733.000000,21520734.000000,21520733.0000002690,73511118.000000,75023355.000000,73657945.000000
2710,189034056.000000,200805610.000000,190050879.0000002710,21680735.000000,21680740.000000,21680736.0000002710,76175165.000000,80934548.000000,76594241.000000
2730,185244446.000000,189080775.000000,188992291.0000002730,21840734.000000,21840738.000000,21840735.0000002730,74644964.000000,76224453.000000,76178806.000000
2750,191147044.000000,197496732.000000,194613996.0000002750,22000736.000000,22000740.000000,22000738.0000002750,77037203.000000,79604722.000000,78427492.000000
2770,194333024.000000,201335525.000000,198234271.0000002770,22160738.000000,22160740.000000,22160739.0000002770,78341883.000000,81146890.000000,79888288.000000
2790,197736108.000000,201193218.000000,198901599.0000002790,22320739.000000,22320740.000000,22320739.0000002790,79728253.000000,81109071.000000,80208716.000000
2810,203773090.000000,208184164.000000,205773371.0000002810,22480741.000000,22480743.000000,22480742.0000002810,82176954.000000,83969466.000000,82998348.000000
